Date,Flight Hours,System,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type,,Sub,Type
16/11/15,0.02 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/05/08,0.02 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/02/19,0.02 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/01,0.02 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/04,1.20 ,1,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/24,1.03 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/26,2.15 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/27,2.01 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/28,1.13 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/03,1.29 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/10,0.88 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/11,1.75 ,1,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/19,2.00 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/23,1.28 ,2,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/24,1.95 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/26,1.23 ,1,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/30,1.73 ,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
