cutoff,subsystem,ftype,n_fail_cum,gamma,m1,m1_lo95,m1_hi95,m3,m3_lo95,m3_hi95,max_rhat
2019-08-31,1,1,0,262.6054626773802,1230.9528709614478,59.4223105607946,9734.293013630027,3144.8423298069,1.1895256362936574e-18,363.66131829149657,1.0026810225932574
2019-08-31,1,2,0,542.7743080944912,2482.984535365035,112.84413399393408,19389.397382682633,5497.191683162521,1.7709994362721074e-20,361.6076889316777,1.0026810225932574
2019-08-31,1,6,0,2190.438421409134,9739.268897116124,373.974761469976,83011.76791292011,17853.94752781276,6.141801269086761e-21,319.58016300973935,1.0026810225932574
2019-08-31,2,1,0,144.89494492209542,675.8204934148213,38.73066106447155,4822.934242445805,2003.8825254052913,6.294324533423763e-16,698.6976350243153,1.0026810225932574
2019-08-31,2,2,0,212.67909228594056,977.237934872627,52.78434468663497,6794.264827577518,2682.824369511101,1.5808554470224034e-17,409.85067847289554,1.0026810225932574
2019-08-31,2,6,0,932.0759483676482,4219.076110269058,163.22538230176912,35233.26603397639,8521.456749130632,6.5873974176185615e-21,374.824440104964,1.0026810225932574
2019-08-31,3,1,0,389.544652310332,1782.1288070464461,78.44989766220085,15095.217613997143,4244.972578854101,1.4475512276361609e-19,361.61179336850984,1.0026810225932574
2019-08-31,3,2,0,1200.28323710112,5362.515955647031,219.52500003313514,42538.26668223135,10544.278075823706,6.5764582289720535e-21,145.74727780302797,1.0026810225932574
2019-08-31,3,6,0,1809.4286477316073,8055.272442564313,312.7215677051294,71317.2677429413,15059.52963909828,6.354373198769342e-21,207.00871376493612,1.0026810225932574
2019-08-31,4,1,0,473.1893607676583,2151.5316189950904,93.25550528104908,17226.36668669205,4935.57750116402,9.821489972739988e-21,299.159352906726,1.0026810225932574
2019-08-31,4,2,0,1029.9372440454576,4612.966227280382,188.0395270409801,36801.27915940545,9263.276926490782,6.586772400160844e-21,256.875943531406,1.0026810225932574
2019-08-31,4,6,0,4297.899347832349,19472.676323309915,751.7063580293303,163149.042573187,33157.10793671825,3.5457731771685e-21,484.18293905399327,1.0026810225932574
2019-08-31,5,1,0,391.8530175089485,1807.5258051064804,83.46215047983327,14176.059234057931,4264.314963147138,1.331089287706917e-19,356.72506071866286,1.0026810225932574
2019-08-31,5,2,0,201.7819638231997,938.2759424875073,48.42055507663481,7220.176837420384,2578.5180933082625,4.0680320660976864e-17,452.55237239855586,1.0026810225932574
2019-08-31,5,6,0,604.7668842008304,2730.7804913191057,114.19682161725495,21935.834320137044,5990.173231963324,6.587417618551238e-21,378.45854104892015,1.0026810225932574
2019-08-31,6,1,0,502.7618987613035,2295.323443386953,102.97900880382754,17911.31938222434,5175.466002582413,6.5874176181472505e-21,400.5489350148194,1.0026810225932574
2019-08-31,7,1,0,904.5426960628503,4218.466257341847,174.32468573729545,37528.53655673453,8311.794960239726,6.587399722137103e-21,233.54591294150129,1.0026810225932574
2019-08-31,7,2,0,325.54446715440866,1485.2233740147276,67.08762887441597,12365.937181077255,3700.4668100194253,2.867151250426919e-19,394.67641667726247,1.0026810225932574
2019-08-31,7,6,0,2614.99879971796,11724.491261649906,418.3072234301453,96896.30428722473,20952.670036893538,5.762208720930017e-21,315.3556275646096,1.0026810225932574
2019-08-31,8,1,0,445.528663784758,2057.9129154115226,89.61913772603793,16626.809010115863,4709.346408317033,4.31586559762627e-20,427.95291435963594,1.0026810225932574
2019-08-31,8,2,0,221.6247476659051,1036.3733886425211,53.61800323296746,7349.937146342307,2767.407977197282,1.324640289760109e-17,544.9604286490902,1.0026810225932574
2019-08-31,8,6,0,1850.503212926679,8248.32769075914,298.797757829224,69205.11646048317,15361.587007667955,6.53676783644287e-21,270.32676645017534,1.0026810225932574
2019-08-31,9,1,0,867.6831512805065,3976.5580003754194,165.02799550089563,32213.80031730026,8030.37682697298,6.587415608806826e-21,225.12524875042178,1.0026810225932574
2019-08-31,9,2,0,833.780656711964,3693.218488014051,145.2866330048072,30546.667312131754,7770.728943342913,6.587403539802967e-21,387.57067329138465,1.0026810225932574
2019-08-31,9,6,0,4880.11876265983,21876.436495485836,744.3727747694368,179803.18883863953,37364.11743941947,3.2937083075418428e-21,293.28069048057796,1.0026810225932574
2019-08-31,10,1,0,20272.653820546017,88915.21558877396,3352.188294996379,754652.9725537774,148120.07680048794,3.293708516333756e-21,1154.305398752326,1.0026810225932574
2019-08-31,10,2,1,9494.226910273008,16490.841421811463,579.4198789302541,134934.04633902723,34.42561256077235,4.681520907259603e-15,38.33458693591056,1.0026810225932574
2019-08-31,10,6,0,256066.35382054604,1112758.1876888378,38294.19178187411,9950199.543363066,1842452.4017700271,3.864464830366188e-21,16387.615518332394,1.0026810225932574
