cutoff,subsystem,ftype,n_fail_cum,gamma,m1,m1_lo95,m1_hi95,m3,m3_lo95,m3_hi95,max_rhat
2019-08-31,1,1,0,262.6054626773802,2019.5051078088618,143.9827066194322,39505.86249547616,3739.8907604143774,0.0005286772964392513,23768434401.91982,1.0026810225932574
2019-08-31,1,2,0,542.7743080944912,4073.592149684463,255.84062385519422,80744.73947784482,6190.562559443583,0.00016873447812567702,197397600103.5525,1.0026810225932574
2019-08-31,1,6,0,2190.438421409134,15978.27483735241,886.2696085189211,339202.151973063,19170.76262275889,3.909848224304439e-05,18585274388085.13,1.0026810225932574
2019-08-31,2,1,0,144.89494492209542,1108.7532029939769,96.00581598310102,20145.64972438457,2579.2168043618876,0.002019128728299042,5091407631.36963,1.0026810225932574
2019-08-31,2,2,0,212.67909228594056,1603.2595947222605,124.94024104312638,30778.251308804094,3265.24850423434,0.0005741191213408601,12106261976.520182,1.0026810225932574
2019-08-31,2,6,0,932.0759483676482,6921.829385935585,405.5102517063854,141359.0227739237,9363.539356901167,8.21814581739262e-05,1078445137958.6124,1.0026810225932574
2019-08-31,3,1,0,389.544652310332,2923.7660624590458,190.60837069204064,59503.57589009124,4881.755472762315,0.00022181559772054766,102526677933.4162,1.0026810225932574
2019-08-31,3,2,0,1200.28323710112,8797.760351846071,558.675946480492,183700.3637084842,11488.591726145598,5.5396415992316856e-05,1340879919431.6511,1.0026810225932574
2019-08-31,3,6,0,1809.4286477316073,13215.505017543515,731.9851635315964,282888.0694496803,16233.723030135336,4.708136902376976e-05,5388690652236.133,1.0026810225932574
2019-08-31,4,1,0,473.1893607676583,3529.8094644185066,228.71887658098538,66847.91708573229,5602.865983421084,0.00019491994522870016,113271382015.26984,1.0026810225932574
2019-08-31,4,2,0,1029.9372440454576,7568.046736725374,451.2957264935472,174249.09400056227,10142.73759108575,7.070550413317349e-05,879981117618.6498,1.0026810225932574
2019-08-31,4,6,0,4297.899347832349,31946.933327283106,1784.6540401930083,670072.3937980632,35256.23505302399,3.406260865257503e-05,51312802324081.7,1.0026810225932574
2019-08-31,5,1,0,391.8530175089485,2965.4324564495746,207.64127135012345,53792.7693405231,4901.920442457434,0.000498269910402604,69990256413.43079,1.0026810225932574
2019-08-31,5,2,0,201.7819638231997,1539.3384288609695,118.36436481916918,30282.876073725838,3158.7685902799394,0.0009730838443257,11626498487.169403,1.0026810225932574
2019-08-31,5,6,0,604.7668842008304,4480.126965556628,284.5616199142642,83777.48015050992,6707.054741647866,0.0001460436686679621,425878837210.21735,1.0026810225932574
2019-08-31,6,1,0,502.7618987613035,3765.7147786436735,246.97289210681103,74103.71440779464,5853.785708383982,0.00011544001451829574,232580397174.24875,1.0026810225932574
2019-08-31,7,1,0,904.5426960628503,6920.828859326829,393.57293960902695,146679.333186849,9143.347367026989,8.584398104888267e-05,583519772396.8993,1.0026810225932574
2019-08-31,7,2,0,325.54446715440866,2436.662085784919,158.7816850840501,46783.60680757214,4315.141657163635,0.00041454507336669406,41720118609.75518,1.0026810225932574
2019-08-31,7,6,0,2614.99879971796,19235.23682175476,1036.1904565883056,413100.8097736531,22427.757077871753,4.7171706403063166e-05,18579701572874.4,1.0026810225932574
2019-08-31,8,1,0,445.528663784758,3376.218328207273,198.35367213539647,72425.72444436939,5366.412801579722,0.00022385779079903216,154147347807.40106,1.0026810225932574
2019-08-31,8,2,0,221.6247476659051,1700.2774040617999,126.03850493864782,29779.406364745108,3351.8033578046416,0.001032067042159782,11139141455.554409,1.0026810225932574
2019-08-31,8,6,0,1850.503212926679,13532.232058046902,755.2504958232192,283791.44974806195,16551.189774947197,3.829558599518093e-05,6141913024069.191,1.0026810225932574
2019-08-31,9,1,0,867.6831512805065,6523.953420721876,388.7977553008791,143834.6812911885,8847.824296755582,0.0001146588448825368,636690932361.072,1.0026810225932574
2019-08-31,9,2,0,833.780656711964,6059.1057356834335,374.1353928302145,116270.285434603,8575.196673769291,0.00015705055616420437,695998447096.7778,1.0026810225932574
2019-08-31,9,6,0,4880.11876265983,35890.5497403674,1852.603238407289,824428.2510132266,39678.54107251997,2.3549889076843113e-05,82041011370611.3,1.0026810225932574
2019-08-31,10,1,0,20272.653820546017,145874.57918125208,8322.33954063737,3041085.0578109017,156113.20143450578,4.194369875764031e-05,516195512241068.9,1.0026810225932574
2019-08-31,10,2,1,9494.226910273008,27054.925715719943,1547.7232636296956,538738.3364155805,9596.215556799569,0.07643652789217759,1607274144.0272844,1.0026810225932574
2019-08-31,10,6,0,256066.35382054604,1825594.5428995418,92873.51477373048,38400991.90989212,1937400.664470581,0.0003657494729858952,6959389580587753.0,1.0026810225932574
2019-08-31,11,1,0,763.8660490251126,5699.822704032278,348.9724725669343,115213.01496260919,8010.222757726443,0.00015556531816573647,548284345002.4351,1.0026810225932574
2019-08-31,11,2,0,938.0626777361305,6940.834518962409,404.8730559478989,135908.59802236836,9411.357282621113,0.00022187986532372055,1061484072395.4634,1.0026810225932574
2019-08-31,11,6,0,5681.362357516993,41654.420206454146,2218.2013412242063,817190.5170710324,45757.45805727244,2.3739082269987698e-05,118931000420819.7,1.0026810225932574
2019-08-31,12,1,1,381.096184632256,1335.988790707557,105.97360411749115,23719.53212590547,25766.898870423338,0.0007947232719814318,908360892548.9353,1.0026810225932574
2019-08-31,12,2,0,285.78051844618125,2177.3872833699893,159.28992572593452,41040.39817947357,3954.2301869075895,0.0008126902497668674,23207364471.841454,1.0026810225932574
2019-08-31,12,6,0,1427.7781288732422,10413.041998244793,591.6025839274743,197607.58303714794,13270.572934899586,3.862643942917249e-05,4018619047207.217,1.0026810225932574
2019-08-31,13,1,0,4546.553905592966,32624.803153445228,1720.9662472301495,697854.3890817506,37145.55119703868,4.07435534240928e-05,41901543482419.72,1.0026810225932574
