cutoff,subsystem,ftype,n_fail_cum,gamma,m1,m1_lo95,m1_hi95,m1_rhat
2019-08-31,1,1,0,262.6054626773802,1230.9528709614478,59.4223105607946,9734.293013630027,1.0026810225932574
2019-08-31,1,2,0,542.7743080944912,2482.984535365035,112.84413399393408,19389.397382682633,1.0026810225932574
2019-08-31,1,6,0,2190.438421409134,9739.268897116124,373.974761469976,83011.76791292011,1.0026810225932574
2019-08-31,2,1,0,144.89494492209542,675.8204934148213,38.73066106447155,4822.934242445805,1.0026810225932574
2019-08-31,2,2,0,212.67909228594056,977.237934872627,52.78434468663497,6794.264827577518,1.0026810225932574
2019-08-31,2,6,0,932.0759483676482,4219.076110269058,163.22538230176912,35233.26603397639,1.0026810225932574
2019-08-31,3,1,0,389.544652310332,1782.1288070464461,78.44989766220085,15095.217613997143,1.0026810225932574
2019-08-31,3,2,0,1200.28323710112,5362.515955647031,219.52500003313514,42538.26668223135,1.0026810225932574
2019-08-31,3,6,0,1809.4286477316073,8055.272442564313,312.7215677051294,71317.2677429413,1.0026810225932574
2019-08-31,4,1,0,473.1893607676583,2151.5316189950904,93.25550528104908,17226.36668669205,1.0026810225932574
2019-08-31,4,2,0,1029.9372440454576,4612.966227280382,188.0395270409801,36801.27915940545,1.0026810225932574
2019-08-31,4,6,0,4297.899347832349,19472.676323309915,751.7063580293303,163149.042573187,1.0026810225932574
2019-08-31,5,1,0,391.8530175089485,1807.5258051064804,83.46215047983327,14176.059234057931,1.0026810225932574
2019-08-31,5,2,0,201.7819638231997,938.2759424875073,48.42055507663481,7220.176837420384,1.0026810225932574
2019-08-31,5,6,0,604.7668842008304,2730.7804913191057,114.19682161725495,21935.834320137044,1.0026810225932574
2019-08-31,6,1,0,502.7618987613035,2295.323443386953,102.97900880382754,17911.31938222434,1.0026810225932574
2019-08-31,7,1,0,904.5426960628503,4218.466257341847,174.32468573729545,37528.53655673453,1.0026810225932574
2019-08-31,7,2,0,325.54446715440866,1485.2233740147276,67.08762887441597,12365.937181077255,1.0026810225932574
2019-08-31,7,6,0,2614.99879971796,11724.491261649906,418.3072234301453,96896.30428722473,1.0026810225932574
2019-08-31,8,1,0,445.528663784758,2057.9129154115226,89.61913772603793,16626.809010115863,1.0026810225932574
2019-08-31,8,2,0,221.6247476659051,1036.3733886425211,53.61800323296746,7349.937146342307,1.0026810225932574
2019-08-31,8,6,0,1850.503212926679,8248.32769075914,298.797757829224,69205.11646048317,1.0026810225932574
2019-08-31,9,1,0,867.6831512805065,3976.5580003754194,165.02799550089563,32213.80031730026,1.0026810225932574
