cutoff,subsystem,ftype,n_fail_cum,gamma,m3,m3_lo95,m3_hi95
2019-08-31,1,1,0,262.6054626773802,3144.8423298069,1.1895256362936574e-18,363.66131829149657
2019-08-31,1,2,0,542.7743080944912,5497.191683162521,1.7709994362721074e-20,361.6076889316777
2019-08-31,1,6,0,2190.438421409134,17853.94752781276,6.141801269086761e-21,319.58016300973935
2019-08-31,2,1,0,144.89494492209542,2003.8825254052913,6.294324533423763e-16,698.6976350243153
2019-08-31,2,2,0,212.67909228594056,2682.824369511101,1.5808554470224034e-17,409.85067847289554
2019-08-31,2,6,0,932.0759483676482,8521.456749130632,6.5873974176185615e-21,374.824440104964
2019-08-31,3,1,0,389.544652310332,4244.972578854101,1.4475512276361609e-19,361.61179336850984
2019-08-31,3,2,0,1200.28323710112,10544.278075823706,6.5764582289720535e-21,145.74727780302797
2019-08-31,3,6,0,1809.4286477316073,15059.52963909828,6.354373198769342e-21,207.00871376493612
2019-08-31,4,1,0,473.1893607676583,4935.57750116402,9.821489972739988e-21,299.159352906726
2019-08-31,4,2,0,1029.9372440454576,9263.276926490782,6.586772400160844e-21,256.875943531406
2019-08-31,4,6,0,4297.899347832349,33157.10793671825,3.5457731771685e-21,484.18293905399327
2019-08-31,5,1,0,391.8530175089485,4264.314963147138,1.331089287706917e-19,356.72506071866286
2019-08-31,5,2,0,201.7819638231997,2578.5180933082625,4.0680320660976864e-17,452.55237239855586
2019-08-31,5,6,0,604.7668842008304,5990.173231963324,6.587417618551238e-21,378.45854104892015
2019-08-31,6,1,0,502.7618987613035,5175.466002582413,6.5874176181472505e-21,400.5489350148194
2019-08-31,7,1,0,904.5426960628503,8311.794960239726,6.587399722137103e-21,233.54591294150129
2019-08-31,7,2,0,325.54446715440866,3700.4668100194253,2.867151250426919e-19,394.67641667726247
2019-08-31,7,6,0,2614.99879971796,20952.670036893538,5.762208720930017e-21,315.3556275646096
2019-08-31,8,1,0,445.528663784758,4709.346408317033,4.31586559762627e-20,427.95291435963594
2019-08-31,8,2,0,221.6247476659051,2767.407977197282,1.324640289760109e-17,544.9604286490902
2019-08-31,8,6,0,1850.503212926679,15361.587007667955,6.53676783644287e-21,270.32676645017534
2019-08-31,9,1,0,867.6831512805065,8030.37682697298,6.587415608806826e-21,225.12524875042178
2019-08-31,9,2,0,833.780656711964,7770.728943342913,6.587403539802967e-21,387.57067329138465
2019-08-31,9,6,0,4880.11876265983,37364.11743941947,3.2937083075418428e-21,293.28069048057796
2019-08-31,10,1,0,20272.653820546017,148120.07680048794,3.293708516333756e-21,1154.305398752326
2019-08-31,10,2,1,9494.226910273008,34.42561256077235,4.681520907259603e-15,38.33458693591056
2019-08-31,10,6,0,256066.35382054604,1842452.4017700271,3.864464830366188e-21,16387.615518332394
2019-08-31,11,1,0,763.8660490251126,7232.531739313098,6.587417558809822e-21,251.9202076010495
2019-08-31,11,2,0,938.0626777361305,8566.9857660856,6.587403118399044e-21,243.6584322018133
2019-08-31,11,6,0,5681.362357516993,43146.978184991516,4.475788614119063e-21,396.1342627177405
2019-08-31,12,1,1,381.096184632256,34.425207919840496,3.085998741551204e-20,60.118252201670224
2019-08-31,12,2,0,285.78051844618125,3352.3016421960724,2.7592000070759613e-18,378.93686817871645
2019-08-31,12,6,0,1427.7781288732422,12240.069186367879,6.570483025231641e-21,283.86167274600865
2019-08-31,13,1,0,4546.553905592966,34954.453221354765,5.409488988544026e-21,301.51386105113
2019-08-31,13,2,0,2288.179187686339,18568.505231501134,5.696756571558353e-21,212.11211291326725
2019-08-31,13,6,0,27137.184477074396,197459.05099318063,3.2934154741266843e-21,903.1674249211243
2019-08-31,14,1,0,1525.3281910785247,12963.276228397164,6.521385535637669e-21,263.95870025209035
2019-08-31,14,2,0,153166.453820546,1103069.56850608,3.2937017456561677e-21,5553.601296325357
2019-08-31,14,6,0,831555.453820546,5977589.777148607,4.673307659059721e-21,32603.453675990455
2019-08-31,15,1,0,1437.181895126169,12309.876588633726,6.5718428425396865e-21,291.4209972249026
2019-08-31,15,2,0,45349.65382054602,328340.96184240305,3.2937088092758073e-21,2352.3717354160917
2019-08-31,15,6,0,93189.45382054601,672104.09430404,3.293708809263042e-21,4242.431994838247
2019-08-31,16,1,0,2204.50923389147,17956.86538356522,6.115183235479481e-21,237.64471886540022
2019-08-31,17,1,0,1032.7988904603064,9284.896837993854,6.586435340499991e-21,148.22163970570173
2019-08-31,17,2,0,1142.0684439605625,10107.775182660976,6.586118104573002e-21,269.7552341626611
2019-08-31,17,6,0,1959.6573463435877,16163.260999730666,6.455730422473661e-21,447.31005559636543
2019-08-31,18,1,0,1032.674985743552,9283.960809530783,6.5870992502454285e-21,242.69043814546714
2019-08-31,18,2,0,1101.4048593309915,9802.126494388553,6.587247202015629e-21,207.5353776212669
2019-08-31,18,6,0,8613.49171143958,64272.6813315041,3.2936964858520816e-21,443.62457882775783
2019-08-31,19,1,0,108.92575228031036,1599.101584107941,1.6926275394869017e-14,796.3826854666622
2019-08-31,19,2,0,277.67067548687993,3280.127532862757,1.173544591399577e-18,484.5176215511228
2019-08-31,19,6,0,374.88315702864986,4121.680154047477,7.426444574641221e-20,324.10242177513834
2019-08-31,20,1,0,208.58955146745336,2643.8502198358187,2.6296523376447578e-17,599.2539017034863
2019-08-31,20,2,0,157.74117124848934,2139.0931025890513,5.535243391162632e-16,583.4343313657334
2019-08-31,20,6,0,1013.9588004589095,9142.487656657373,6.586144239620265e-21,248.005093212648
2019-08-31,21,1,0,1061.8002224125844,9503.792257553514,6.585687989297842e-21,267.8999887549161
2019-08-31,22,1,0,2062.510246249498,16917.413528294088,5.2503437348001175e-21,239.33131758390695
2019-08-31,22,2,0,16475.087941722897,120820.14074138236,3.2937087924518932e-21,1443.2666631065256
2019-08-31,22,6,0,56708.703448627144,409965.91741433076,3.2937068281492305e-21,2305.879013970067
2019-08-31,23,1,0,464.9254989023633,4868.186745215755,2.3796762776529944e-20,485.3517254348402
2019-08-31,23,2,0,733.3167965016295,6996.061449876614,6.587417338001326e-21,395.2094125726551
2019-08-31,23,6,0,2868.6093313651772,22798.367908673175,5.162685547174922e-21,267.4890478082864
2019-08-31,24,1,0,4459.061216483697,34322.14397503667,3.2937088092758073e-21,370.48278906684124
2019-08-31,24,2,0,4102.709303930498,31745.477545779988,4.14906107662659e-21,227.0299982689419
2019-08-31,24,6,0,30315.15575480329,220298.66067264127,3.2937083324038022e-21,1206.9801132978298
