,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
s1t1,-7.08,0.475,-7.9,-6.4,6429,5211,1.00,0.006,0.0042
s1t2,-8.14,0.7,-9.3,-7.1,8496,5571,1.00,0.0078,0.0056
s1t6,-8.07,0.67,-9.2,-7.1,7443,4789,1.00,0.008,0.0061
s2t1,-6.81,0.428,-7.5,-6.2,5632,5853,1.00,0.0057,0.0042
s2t2,-7.86,0.63,-8.9,-6.9,7549,4905,1.00,0.0076,0.0059
s2t6,-8.91,0.84,-10,-7.7,9040,5701,1.00,0.0091,0.0067
s3t1,-7.67,0.61,-8.7,-6.8,7866,5282,1.00,0.007,0.0053
s3t2,-6.88,0.438,-7.6,-6.2,5314,4993,1.00,0.006,0.0045
s3t6,-9.23,0.91,-11,-7.9,9667,4929,1.00,0.0096,0.0069
s4t1,-8.09,0.68,-9.3,-7.1,7743,5350,1.00,0.008,0.0061
s4t2,-8.34,0.73,-9.6,-7.3,7621,4648,1.00,0.0088,0.0066
s4t6,-9.71,0.98,-11,-8.2,10653,6234,1.00,0.0097,0.0069
s5t1,-7.67,0.59,-8.7,-6.8,7332,5801,1.00,0.007,0.0051
s5t2,-7.26,0.52,-8.1,-6.5,5618,5048,1.00,0.007,0.0053
s5t6,-8.73,0.82,-10,-7.5,8926,5747,1.00,0.009,0.0066
s6t1,-6.96,0.466,-7.7,-6.3,6061,4714,1.00,0.0061,0.0045
s6t2,-14.09,1.28,-16,-12,11218,6470,1.00,0.012,0.0084
s6t6,-19.02,1.3,-21,-17,11808,6119,1.00,0.012,0.0083
s7t1,-8.31,0.73,-9.6,-7.2,8235,5012,1.00,0.0084,0.0063
s7t2,-7.62,0.57,-8.6,-6.7,7283,5633,1.00,0.0068,0.0052
s7t6,-8.68,0.81,-10,-7.5,7202,4867,1.00,0.0099,0.0071
s8t1,-7.39,0.536,-8.3,-6.6,6877,5460,1.00,0.0065,0.0047
s8t2,-8.34,0.73,-9.6,-7.3,8481,5675,1.00,0.0083,0.0064
s8t6,-8.54,0.76,-9.8,-7.4,8328,5120,1.00,0.0086,0.0063
s9t1,-5.55,0.282,-6,-5.1,3106,4210,1.00,0.0051,0.0037
s9t2,-7.02,0.464,-7.8,-6.3,5808,5534,1.00,0.0061,0.0043
s9t6,-7.87,0.64,-8.9,-6.9,6680,5525,1.00,0.0081,0.0064
s10t1,-7.5,0.56,-8.4,-6.7,6843,5017,1.00,0.0069,0.0051
s10t2,-6.42,0.38,-7,-5.8,4327,4473,1.00,0.0058,0.0042
s10t6,-6.18,0.342,-6.7,-5.6,3827,4435,1.00,0.0056,0.004
s11t1,-6.84,0.444,-7.6,-6.2,5958,5348,1.00,0.0058,0.0043
s11t2,-7.53,0.56,-8.5,-6.7,6969,5357,1.00,0.0069,0.0051
s11t6,-8.36,0.73,-9.6,-7.3,8375,5369,1.00,0.0082,0.0062
s12t1,-6.83,0.439,-7.5,-6.2,5148,5144,1.00,0.0061,0.0045
s12t2,-7.95,0.65,-9,-7,8676,5721,1.00,0.0072,0.0055
s12t6,-7.61,0.58,-8.6,-6.7,7208,5827,1.00,0.0069,0.0052
s13t1,-7.52,0.56,-8.4,-6.7,6408,5309,1.00,0.0071,0.0051
s13t2,-8.63,0.8,-10,-7.5,7804,5223,1.00,0.0095,0.0073
s13t6,-9.82,1,-12,-8.3,9638,5270,1.00,0.01,0.0076
s14t1,-7.34,0.531,-8.2,-6.5,6444,5318,1.00,0.0066,0.0048
s14t2,-7.91,0.65,-9,-7,7332,4725,1.00,0.0079,0.006
s14t6,-11.14,1.17,-13,-9.3,10973,5383,1.00,0.011,0.0079
s15t1,-6.47,0.382,-7.1,-5.9,4444,4772,1.00,0.0057,0.0041
s15t2,-6.61,0.404,-7.3,-6,4668,4855,1.00,0.0059,0.0042
s15t6,-9.59,0.98,-11,-8.1,9553,5547,1.00,0.01,0.0075
s16t1,-8.6,0.78,-9.9,-7.4,9321,5600,1.00,0.0084,0.0062
s16t2,-12.5,1.26,-15,-11,11285,6971,1.00,0.012,0.0081
s16t6,-19.01,1.27,-21,-17,11206,6434,1.00,0.012,0.0084
s17t1,-8.34,0.75,-9.6,-7.2,8522,5468,1.00,0.0085,0.0063
s17t2,-7.91,0.64,-9,-6.9,7823,5344,1.00,0.0075,0.0057
s17t6,-8.55,0.77,-9.9,-7.4,8746,5889,1.00,0.0085,0.0064
s18t1,-8.33,0.73,-9.6,-7.2,8105,5367,1.00,0.0084,0.0064
s18t2,-7.91,0.64,-9,-7,7493,5638,1.00,0.0075,0.0058
s18t6,-10.16,1.06,-12,-8.6,11067,6126,1.00,0.01,0.007
s19t1,-7.37,0.54,-8.3,-6.6,6525,5508,1.00,0.0067,0.005
s19t2,-6.9,0.452,-7.6,-6.2,4915,4457,1.00,0.0066,0.0049
s19t6,-8.52,0.77,-9.8,-7.4,9303,5629,1.00,0.0082,0.006
s20t1,-7.26,0.509,-8.1,-6.5,6709,5301,1.00,0.0063,0.0048
s20t2,-7.46,0.55,-8.4,-6.6,6111,5084,1.00,0.0071,0.0053
s20t6,-7.55,0.57,-8.5,-6.7,7556,5273,1.00,0.0067,0.005
s21t1,-7.89,0.64,-9,-7,8500,5193,1.00,0.0072,0.0055
s21t2,-17.36,1.29,-19,-15,11095,6351,1.00,0.012,0.0086
s21t6,-17.35,1.3,-19,-15,10311,5860,1.00,0.013,0.0092
s22t1,-9.31,0.92,-11,-7.9,9018,5828,1.00,0.0099,0.007
s22t2,-8.74,0.81,-10,-7.5,8575,5478,1.00,0.0091,0.0069
s22t6,-9.34,0.93,-11,-8,9650,5777,1.00,0.0098,0.007
s23t1,-8.08,0.68,-9.2,-7.1,8380,5667,1.00,0.0076,0.0058
s23t2,-8.8,0.84,-10,-7.6,8989,5451,1.00,0.0092,0.0067
s23t6,-9.48,0.97,-11,-8,9465,5425,1.00,0.01,0.0072
s24t1,-9.75,1.01,-11,-8.2,10526,5384,1.00,0.01,0.0075
s24t2,-8.84,0.84,-10,-7.6,9315,5265,1.00,0.009,0.0066
s24t6,-11.14,1.17,-13,-9.3,10654,6120,1.00,0.011,0.0078
s25t1,-8.72,0.82,-10,-7.5,8966,5608,1.00,0.0089,0.0063
s25t2,-19,1.29,-21,-17,11743,6509,1.00,0.012,0.0082
s25t6,-19,1.27,-21,-17,10459,6363,1.00,0.012,0.0087
s26t1,-8.38,0.74,-9.6,-7.3,8671,5460,1.00,0.0083,0.0064
s26t2,-9.69,1.01,-11,-8.2,10323,5391,1.00,0.01,0.0078
s26t6,-11.33,1.19,-13,-9.4,10853,5820,1.00,0.011,0.0079
s27t1,-8.35,0.74,-9.6,-7.2,8154,4896,1.00,0.0085,0.0063
s27t2,-8.15,0.7,-9.3,-7.1,7788,4788,1.00,0.0082,0.006
s27t6,-8.95,0.87,-10,-7.7,9049,5108,1.00,0.0095,0.007
s28t1,-9.99,1.04,-12,-8.4,10289,6023,1.00,0.01,0.0075
s28t2,-19.01,1.27,-21,-17,11544,6043,1.00,0.012,0.0083
s28t6,-18.99,1.28,-21,-17,10703,6098,1.00,0.012,0.0086
s29t1,-8.54,0.76,-9.8,-7.4,8677,5200,1.00,0.0085,0.0064
