cell,max_rhat,min_ess,divergences
s1t1,1.0027310152051028,3498.2604158398944,0
s1t2,1.0009207522957249,4395.725852277497,0
s1t6,1.0022178335637868,3308.3766394853274,0
s2t1,1.0008924937522707,3085.715460676845,0
s2t2,1.0018723339465343,4463.783383276314,0
s2t6,1.0009728365479484,3761.0886720504755,0
s3t1,1.0012964578047503,4866.142057460272,0
s3t2,1.0017517766035025,3496.3094362227966,0
s3t6,1.0018896257924976,3287.3138213725265,0
s4t1,1.0019500483050108,3321.6707671925733,0
s4t2,1.000867013132571,4426.4789178656465,0
s4t6,1.0010311611187879,4131.286716067775,0
s5t1,1.0012463948873085,3542.4095153643316,0
s5t2,1.0019299038652083,3628.29119055491,0
s5t6,1.0012653762192085,3557.5279288197926,0
s6t1,1.0027807004009992,3015.8173235153954,0
s6t2,1.0018439652841047,3006.3440410615094,0
s6t6,1.0015662605541682,4201.765995383229,0
s7t1,1.000883387063343,5445.035928849563,0
s7t2,1.0011297276722155,4209.404408262715,0
s7t6,1.001110832079118,4626.7617398265,0
s8t1,1.0017012477394105,2808.185761314278,0
s8t2,1.001034623902438,3705.841766545419,0
s8t6,1.0014487468869526,4440.965672375364,0
s9t1,1.0027816784563963,1983.555233554214,0
s9t2,1.0014228756301673,2824.582050824008,0
s9t6,1.0015931707129233,3201.2833029081835,0
s10t1,1.001148587293643,2623.0235866574358,0
s10t2,1.0016499989654524,2658.54862707373,0
s10t6,1.0030507301864895,2302.544534760811,0
s11t1,1.0009504986060684,3384.1978365732816,0
s11t2,1.0009316897381826,3484.1983862760876,0
s11t6,1.000919981456275,3694.852430847911,0
s12t1,1.002003645712916,2690.7539830894175,0
s12t2,1.0011742198227462,4092.230133942986,0
s12t6,1.003035098150537,3373.8004379987165,0
s13t1,1.0012353779398442,3671.6615535615933,0
s13t2,1.0011370946086469,3797.1195175934868,0
s13t6,1.0011723549689018,3369.516903814769,0
s14t1,1.0025802247538766,3203.5761545552505,0
s14t2,1.0025247393086987,2842.2801807897595,0
s14t6,1.001468458931348,4110.783364433095,0
s15t1,1.0025805461257855,2420.3807448585867,0
s15t2,1.002145084134071,2335.1741672275143,0
s15t6,1.0015535788090182,3517.650140820355,0
s16t1,1.0011486406134475,4456.196089066586,0
s16t2,1.001820862201114,4429.477309175933,0
s16t6,1.001350505884067,3075.041354921001,0
s17t1,1.0017633280115166,4452.48145193777,0
s17t2,1.0013181048586624,4013.3559737365345,0
s17t6,1.0012024020595873,4225.568965048084,0
s18t1,1.002113305494065,4294.171630215303,0
s18t2,1.000986704201366,4660.995173862702,0
s18t6,1.00121254708059,3310.1648846607927,0
s19t1,1.0012452986248357,3461.1801957634757,0
s19t2,1.0015729894078396,3240.821979218068,0
s19t6,1.001901195745392,3634.168575361106,0
s20t1,1.0016318237268147,3195.183856797999,0
s20t2,1.0022750983419006,3933.1912204310897,0
s20t6,1.0009199379868488,3440.1564847679856,0
s21t1,1.0019995369653996,4136.23450677933,0
s21t2,1.000791897001647,1975.9537251701718,0
s21t6,1.0011310732947467,2969.052898516417,0
s22t1,1.0008775471918383,3670.9661991092685,0
s22t2,1.0020746281674677,4006.7885867815394,0
s22t6,1.0012615789044066,3824.5051731512094,0
s23t1,1.0025631435342153,4152.999847852212,0
s23t2,1.001529960853793,3115.4442683855655,0
s23t6,1.0024343266936073,3120.989789448806,0
s24t1,1.0015448399973754,3435.643566198619,0
s24t2,1.0015903315787598,3778.5544833713957,0
s24t6,1.002067162524831,3275.531295448019,0
s25t1,1.0012562518534125,3260.1968731016586,0
s25t2,1.0011914796419,3081.1844290320923,0
s25t6,1.0020805690632575,4115.247668622958,0
s26t1,1.000987877846516,3991.4800396130004,0
s26t2,1.0011438450122645,3146.546587781479,0
s26t6,1.001546179406548,2956.3864162400314,0
s27t1,1.0009311475957108,3470.6337942689293,0
s27t2,1.0018590690116078,3964.8163597840694,0
s27t6,1.00129009093475,3437.6117910292596,0
s28t1,1.0015397533732928,3635.3040091615635,0
s28t2,1.0013614510504552,4223.278467825023,0
s28t6,1.0015320474629767,3915.1505441462405,0
s29t1,1.0019214689908933,3753.7826667734876,0
s29t2,1.000967410657693,4488.145725202216,0
s29t6,1.0013699601146522,4406.734066988068,0
