subsystem,ftype,n_failures,n_failures_all,contractor,cf_final,cf_lo95,cf_hi95,mtbf_map,mtbf_mean,mtbf_median,mtbf_lo95,mtbf_hi95,ratio_glm_over_cf,cf_inside_mcmc_ci,map_inside_cf_ci,max_rhat
1,1,4,4,228.4516421313638,167.15468953969844,81.6058400886275,514.8016347938272,373.3496105271175,1224.7971166933294,866.6013259184269,238.53194015774474,4279.655022683938,2.233557500272517,False,True,1.001755826257921
1,2,1,1,508.6204875484748,557.9711465578016,200.2896120255018,4607.347413873087,1532.180045559668,7190.670245283248,4486.732717021257,752.7364390007706,30493.136325738684,2.7459843667757573,False,True,1.00096653002839
1,6,2,2,2156.2846008631177,921.2021354767488,382.5226132302662,4466.996821346344,3945.9819211368017,16627.249971180572,9652.210855730667,1519.4181663892787,72737.74076635885,4.283513649362788,False,True,1.0022899725846464
2,1,5,5,110.741124376079,119.67715499053458,61.53946640031605,326.1114509948882,418.6750967200189,1225.6947303545692,877.5146316545431,243.11301233433352,4273.079628486321,3.498371069676017,False,False,1.0017556488960315
2,2,1,1,178.52527173992414,392.9235386535263,141.04403713006238,3244.4961730250498,924.8213274192857,4317.062578452891,2775.4998220843963,559.9073128818167,17058.20665663535,2.353692859909771,False,True,1.0016924206020308
2,6,0,0,897.9221278216318,1505.24393338876,408.0490978663107,59453.95961304348,2416.6329413605217,17141.666938960072,9955.335182163395,1490.692876465374,77049.96073814871,1.6054759549304072,True,True,1.001449351266183
3,1,2,2,355.3908317643156,320.9042124438147,133.25318430474567,1556.0950650655036,876.959569299794,3494.7076780317125,2334.897242194661,480.6475667390116,13814.02333137514,2.7327767455010767,False,True,1.001279261380453
3,2,6,6,1166.1294165551035,253.35017458889027,135.79805887007686,630.143016255312,163.45761583160856,454.87012368634635,364.7531197147723,127.17699900550481,1337.0635722918014,0.6451845399232513,True,True,1.0011717921400471
3,6,0,0,1775.2748271855908,2382.5966327527194,645.8862812921644,94107.54020376332,4046.347506902463,28125.818899576003,15488.352728729777,2219.88612787372,132404.8981188827,1.6982931358496627,True,True,1.001752120791625
4,1,1,1,439.03554022164184,523.1786728943852,187.80048764255977,4320.054756279039,1743.2002630261254,8139.050754643696,4748.462777723776,867.5872161484583,33851.83494785841,3.3319406033548846,False,True,1.0018644116666002
4,2,1,1,995.7834234994413,801.5526145332849,287.7257420447407,6618.678023829628,2958.248807166624,13424.996241613662,7962.339217043523,1323.189723744901,60893.82059606678,3.690648316192076,False,True,1.0006369014969507
4,6,0,0,4263.745527286333,4871.067332853461,1320.4734373797764,192396.88269521753,8536.253717127996,52705.89881707332,28058.622724830333,3756.3203317387697,255682.49649663307,1.752440098611299,True,True,1.0010465966136322
5,1,2,2,357.69919696293204,321.67366751002015,133.5726950302998,1559.826225906908,1349.449599274362,5383.457720322617,3432.7594249013473,653.1651388468428,21710.16661858989,4.195088798284449,False,True,1.001485061754472
5,2,3,3,167.62814327718326,193.7374872110779,88.39121841873781,711.0510780481166,730.9326925804284,2502.9626074978437,1624.8075277155065,342.0373142346143,9923.034196140628,3.772799488124225,False,False,1.0009284726962475
5,6,0,0,570.613063654814,1177.9348692219423,319.3205101642122,46525.942133413395,1779.9078223498268,12888.687411437748,7546.018441009239,1227.5867802630237,56541.0613112946,1.5110409487457517,False,True,1.0013367791603158
6,1,5,5,468.60807821528704,179.32164729706923,92.20939860711194,488.63830861843246,347.3986218826555,1050.4209336538495,765.0326521936713,207.2343791501517,3552.7629605512743,1.9372932778558813,False,True,1.001807538444828
7,1,1,1,870.3888755168339,738.8553405419811,265.21989607000813,6100.966445080813,1964.799654188888,9411.044582629096,5684.787512068323,1013.2429936205832,40624.85757451516,2.6592480914432124,False,True,1.0014017308603391
7,2,2,2,291.3906466083922,299.5708173918402,124.3946442405375,1452.6474022608822,830.845599072105,3453.08144605925,2267.3027635457483,462.2653442415353,13676.215154473954,2.773453056294714,False,True,1.001312933118764
7,6,1,1,2580.8449791719436,1594.0833923695359,572.2130009117152,13162.859837181535,6165.734348335958,24671.755073710105,13517.464418439245,2021.4647579661214,117286.47180903722,3.867886948606159,False,True,1.0020853452072698
8,1,3,3,411.37484323874156,254.67416220146748,116.19310140134715,934.6995266179948,739.2784488117006,2793.588976130296,1861.0504659001003,410.3881736517331,10670.807436357085,2.9028404076062992,False,True,1.001351154410504
8,2,0,0,187.47092711988867,794.7927326870171,215.45641232614508,31392.6360915684,951.7947241240604,6573.640234724948,4120.523164066607,784.3659770159867,27060.413624581084,1.1975382825988539,True,True,1.001429095783228
8,6,1,1,1816.3493923806625,1211.8355989738955,435.0011348338231,10006.516730150182,4180.319496737973,19604.058925094636,10671.210209657322,1681.5544074364263,89196.02642500454,3.449576411418842,False,True,1.0008824182391431
9,1,21,21,833.5293307344901,65.4932334682554,44.88530644983646,104.50580797205414,39.861163496390944,57.06144979939909,53.30556601176345,31.07754375236883,105.84497734771944,0.6086302566769997,True,False,1.003693225396136
9,2,5,5,799.6268361659476,234.49144028884598,120.57838533977919,638.9719395027805,450.17548419302267,1364.7006863499732,944.9813321182639,240.08850844198253,4914.20059561565,1.9197949555791787,False,True,1.0005776414852234
