cell,subsystem,ftype,n_failures,n_failures_all,theta0,mtbf_map,mtbf_mean,mtbf_median,mtbf_lo95,mtbf_lo50,mtbf_hi50,mtbf_hi95,max_rhat
s1t1,1,1,4,4,228.4516421313638,373.3496105271175,1224.7971166933294,866.6013259184269,238.53194015774474,537.3959636120433,1494.8974301407075,4279.655022683938,1.001755826257921
s1t2,1,2,1,1,508.6204875484748,1532.180045559668,7190.670245283248,4486.732717021257,752.7364390007706,2364.8940221131957,8380.711510031062,30493.136325738684,1.00096653002839
s1t6,1,6,2,2,2156.2846008631177,3945.9819211368017,16627.249971180572,9652.210855730667,1519.4181663892787,4862.005112348567,19448.94217043385,72737.74076635885,1.0022899725846464
s2t1,2,1,5,5,110.741124376079,418.6750967200189,1225.6947303545692,877.5146316545431,243.11301233433352,535.6132791846928,1484.597876856923,4273.079628486321,1.0017556488960315
s2t2,2,2,1,1,178.52527173992414,924.8213274192857,4317.062578452891,2775.4998220843963,559.9073128818167,1580.7155046279124,5105.984545285552,17058.20665663535,1.0016924206020308
s2t6,2,6,0,0,897.9221278216318,2416.6329413605217,17141.666938960072,9955.335182163395,1490.692876465374,5029.880659733293,19205.483791562983,77049.96073814871,1.001449351266183
s3t1,3,1,2,2,355.3908317643156,876.959569299794,3494.7076780317125,2334.897242194661,480.6475667390116,1323.506427160793,4160.732065025692,13814.02333137514,1.001279261380453
s3t2,3,2,6,6,1166.1294165551035,163.45761583160856,454.87012368634635,364.7531197147723,127.17699900550481,245.92416703121285,555.6915561780363,1337.0635722918014,1.0011717921400471
s3t6,3,6,0,0,1775.2748271855908,4046.347506902463,28125.818899576003,15488.352728729777,2219.88612787372,7682.57131147904,32437.779809639993,132404.8981188827,1.001752120791625
s4t1,4,1,1,1,439.03554022164184,1743.2002630261254,8139.050754643696,4748.462777723776,867.5872161484583,2571.689174932647,9366.221476069897,33851.83494785841,1.0018644116666002
s4t2,4,2,1,1,995.7834234994413,2958.248807166624,13424.996241613662,7962.339217043523,1323.189723744901,4244.349067390031,15261.170667818224,60893.82059606678,1.0006369014969507
s4t6,4,6,0,0,4263.745527286333,8536.253717127996,52705.89881707332,28058.622724830333,3756.3203317387697,13899.324978318607,59394.96541191913,255682.49649663307,1.0010465966136322
s5t1,5,1,2,2,357.69919696293204,1349.449599274362,5383.457720322617,3432.7594249013473,653.1651388468428,1862.6608627470364,6375.1277283986465,21710.16661858989,1.001485061754472
s5t2,5,2,3,3,167.62814327718326,730.9326925804284,2502.9626074978437,1624.8075277155065,342.0373142346143,906.7176718525853,2924.057554935483,9923.034196140628,1.0009284726962475
